Product_Name,Price,Old_Price,Discount,Rating
SVEN KB-G9500 Gaming Programmable Mechanical Keyboard – Rainbow – Blue Switch - EN Keys,EGP 959.00,"EGP 1,299.00",26%,N/A
Redragon K552 KUMARA Gaming Mechanical Keyboard - Red Switches - Red LED - Metal ABS Construction,"EGP 1,599.00","EGP 1,800.00",11%,4.5 out of 5
Point  USB MINI KEYBOARD PT-360POINT,EGP 200.00,EGP 200.00,0%,N/A
Havit KB488L Rainbow Full Membrane Gaming Keyboard – AR / EN - Black,EGP 450.00,EGP 750.00,40%,4.9 out of 5
Aula F2066-II Rainbow Mechanical Gaming Keyboard - Anti-ghosting -Blue Switch - AR/EN -Black,EGP 855.00,EGP 855.00,0%,4.8 out of 5
US Keyboard With Backlight For Huawei Matebook D14 D15,"EGP 1,929.00","EGP 2,755.00",30%,N/A
ZERO ZR 2080 USB Keyboard RGB PRO GAMER - Black,EGP 340.00,EGP 399.00,15%,4.6 out of 5
Point USB KEYBOARD RGB PT-203 ,EGP 240.00,EGP 240.00,0%,4 out of 5
HP Pavilion Wireless Keyboard And Mouse 800 Black,"EGP 3,549.00","EGP 3,549.00",0%,5 out of 5
Aula WIND F2066-II Gaming Mechanical Keyboard - Blue Switches /Black,EGP 850.00,"EGP 1,200.00",29%,4.5 out of 5
Havit KB510L Multi-Function Backlit Gaming Keyboard. (aribic+english),EGP 299.00,EGP 299.00,0%,N/A
Redragon K552 Mechanical Red LED Gaming Keyboard Blue Switch - Ar./Eg,"EGP 1,550.00","EGP 1,899.00",18%,4.5 out of 5
Redragon K568 Rainbow - Blue Switch - TKL Mechanical Gaming Keyboard - 87 Keys,"EGP 1,524.00","EGP 1,750.00",13%,N/A
Motospeed CK61 RGB Mechanical Gaming Keyboard OUTMU Blue,"EGP 3,739.50","EGP 6,359.58",41%,N/A
LAVVENTO (KB206) 2.4G Wireless Keyboard  US+Arabic Layout Injection,EGP 599.00,EGP 899.00,33%,1 out of 5
Havit KB852CM Gaming Wired Keyboard & Mouse Combo,EGP 499.00,EGP 499.00,0%,N/A
For Bloody A70 4000dpi Usb Wired Gaming Mouse Optical Glare,"EGP 1,567.50","EGP 2,564.43",39%,N/A
T-Dagger T-TGK313 Mechanical Gaming Keyboard [Ice Blue] - Outemu Blue Switches - Black,EGP 950.00,"EGP 1,200.00",21%,5 out of 5
Royal Kludge RK68/RK837/G68/RK855/RK871 MX Mechanical Keyboard PDoubleshot Ansi Layout Transparent Keycap,"EGP 1,589.76","EGP 2,701.62",41%,N/A
T-Dagger T-TGK313 Mechanical Gaming Keyboard [Ice Blue] - Outemu Brown Switches - Black,EGP 975.00,"EGP 1,500.00",35%,4.6 out of 5
"Havit Keyboard With FN Function Keys,  ,Black",EGP 185.00,EGP 185.00,0%,2 out of 5
T-Dagger T-TGK313 Mechanical Ice Blue LED Gaming Keyboard -Blue Switch - AR/Eg - Black,EGP 950.00,"EGP 1,168.70",19%,4.6 out of 5
Aula Arabic/English F2058 Full Mechanical Gaming Keyboard -Blue Switches-Rainbow Backlit,EGP 990.00,EGP 990.00,0%,4.7 out of 5
T-Dagger T-TGK313 Mechanical Gaming Keyboard [Ice Blue] - Outemu Blue Switches - Black,EGP 975.00,"EGP 1,200.00",19%,4.5 out of 5
Redragon K502 RGB Gaming Silent Keyboard - 104 Key,"EGP 1,399.00","EGP 1,650.00",15%,4.3 out of 5
ZERO ZR 2030 Business Keyboard USB GAME Backlight ILLmination,EGP 299.00,EGP 399.00,25%,1 out of 5
44 O3c Sayodevice Osu O3c Rapid Trigger Hall Switches Magne,"EGP 1,726.38","EGP 2,877.66",40%,N/A
